"Species";"main_diet";"foraging_water_depth";"foraging_location";"fasting_strategy";"terrestriality";"female_sexual_maturity";"weaning";"gestation";"inter_litter";"breeding_site";"social_group_mean";"social_behavior";"adult_weight_max";"dimorphism";"IUCN_status";"IUCN_num";"IUCN_50";"IUCN_100"
"Lagenorhynchus_australis";"D";"C";"A";0;0;"NA";"NA";"NA";"NA";"C";3,5;"A";115;0;"LC";0;5E-05;0,0001
"Lagenorhynchus_cruciger";"D";"NA";"A";0;0;"NA";"NA";"NA";"NA";"C";7;"A";91;0;"LC";0;5E-05;0,0001
"Lagenorhynchus_obliquidens";"E";"D";"A";0;0;9,5;"NA";11,5;54;"C";49,4;"A";198;0;"LC";0;5E-05;0,0001
"Lagenorhynchus_obscurus";"E";"B";"B";0;0;4,65;12;12,9;28,6;"C";8,5;"A";85;0;"LC";0;5E-05;0,0001
"Leptonychotes_weddellii";"D";"D";"A";1;1;4;1,5;9,5;18;"A";"NA";"C";450;1;"LC";0;5E-05;0,0001
"Lissodelphis_borealis";"E";"B";"B";0;0;9,7;"NA";"NA";"NA";"C";150;"A";115;1;"LC";0;5E-05;0,0001
"Lissodelphis_peronii";"E";"B";"D";0;0;"NA";"NA";"NA";"NA";"C";52;"A";116;0;"LC";0;5E-05;0,0001
"Lobodon_carcinophaga";"A";"C";"A";1;1;3,5;0,75;11;24;"A";3;"C";300;1;"LC";0;5E-05;0,0001
"Lontra_felina";"B";"C";"A";0;1;2;10;2;12;"B";1,5;"C";25,6;0;"EN";3;0,42;0,667
"Megaptera_novaeangliae";"A";"A";"F";1;0;7,5;12;11,25;24;"A";2,8;"C";43500;0;"LC";0;5E-05;0,0001
"Mesoplodon_bidens";"E";"D";"E";0;0;9;12;12;12;"C";2;"C";1300;0;"DD";"NA";"NA";"NA"
"Mesoplodon_bowdoini";"E";"D";"D";0;0;9;12;10;12;"C";2;"C";1000;0;"DD";"NA";"NA";"NA"
"Mesoplodon_carlhubbsi";"E";"D";"D";0;0;9;12;12;12;"C";2;"A";1500;0;"DD";"NA";"NA";"NA"
"Mesoplodon_densirostris";"E";"D";"F";0;0;9;12;12;12;"C";3,44;"C";1000;0;"DD";"NA";"NA";"NA"
"Mesoplodon_europaeus";"E";"D";"F";0;0;9;12;12;12;"C";3;"A";1200;0;"DD";"NA";"NA";"NA"
"Mesoplodon_ginkgodens";"E";"D";"D";0;0;9;12;12;12;"C";2;"A";1800;0;"DD";"NA";"NA";"NA"
"Mesoplodon_grayi";"E";"D";"D";0;0;9;12;12;12;"C";3,5;"C";1100;0;"DD";"NA";"NA";"NA"
"Mesoplodon_hectori";"E";"D";"D";0;0;9;12;12;12;"C";2;"C";1000;0;"DD";"NA";"NA";"NA"
"Mesoplodon_layardii";"E";"D";"D";0;0;9;12;10,5;12;"C";2;"NA";1300;0;"DD";"NA";"NA";"NA"
"Mesoplodon_mirus";"E";"D";"A";0;0;9;12;12;12;"C";2;"NA";1400;0;"DD";"NA";"NA";"NA"
"Mesoplodon_perrini";"E";"D";"D";0;0;9;12;12;12;"C";2;"A";1000;0;"DD";"NA";"NA";"NA"
"Mesoplodon_peruvianus";"E";"D";"D";0;0;9;12;12;12;"C";4;"A";800;0;"DD";"NA";"NA";"NA"
